id,job_geo_coordinate,Latitude,Longitude,installers_required,expected_job_time,est_installation_date,installation_date,arrival_start_time,arrival_end_time,installer_ids
2223,"-34.9007279,138.5199928",-34.9007279,138.5199928,1,150.0,15/01/2023,15/01/2023,08:25:00,10:55:00,1.0
2363,"-34.9336734,138.5141918",-34.9336734,138.5141918,1,120.0,15/01/2023,15/01/2023,11:02:00,01:02:00,1.0
2370,"-34.8408831,138.6441389",-34.8408831,138.6441389,1,8.0,15/01/2023,15/01/2023,08:00:00,10:00:00,
2448,"-34.8915278,138.6738478",-34.8915278,138.6738478,1,120.0,15/01/2023,,,,
2521,"-34.9032498,138.6618199",-34.9032498,138.6618199,1,180.0,15/01/2023,,,,
2561,"-34.6825781,138.6693345",-34.6825781,138.6693345,1,240.0,15/01/2023,,,,
2592,"-34.8790745,138.6556894",-34.8790745,138.6556894,1,6.0,15/01/2023,,,,
2608,"-34.9858139,138.6145757",-34.9858139,138.6145757,1,120.0,15/01/2023,,,,
2657,"-34.7720571,138.7089082",-34.7720571,138.7089082,1,240.0,15/01/2023,,,,
2662,"-34.9578161,138.569472",-34.9578161,138.569472,1,120.0,15/01/2023,,,,
2702,"-34.7561355,138.6514788",-34.7561355,138.6514788,1,180.0,15/01/2023,,,,
2705,"-34.8220291,138.7226326",-34.8220291,138.7226326,1,240.0,16/01/2023,,,,
2719,"-34.9223373,138.6722414",-34.9223373,138.6722414,1,180.0,16/01/2023,,,,
2745,"-34.8531802,138.6163567",-34.8531802,138.6163567,1,120.0,16/01/2023,,,,
2758,"-34.90805,138.6443909",-34.90805,138.6443909,1,120.0,15/01/2023,,,,
2769,"-34.9557963,138.8817805",-34.9557963,138.8817805,1,6.0,16/01/2023,,,,
2773,"-34.9254255,138.610603",-34.9254255,138.610603,1,120.0,16/01/2023,,,,
2776,"-34.8968945,138.6811783",-34.8968945,138.6811783,1,120.0,16/01/2023,,,,
65745,"-35.5390725,138.6306281",-35.5390725,138.6306281,1,259.8,15/01/2023,,,,
65799,"-34.9378933,138.6531826",-34.9378933,138.6531826,1,210.0,16/01/2023,,,,
65956,"-34.8794922,138.6905619",-34.8794922,138.6905619,1,334.8,16/01/2023,,,,
66013,"-34.855342,138.4797669",-34.855342,138.4797669,1,30.0,20/01/2023,,,,
66190,"-34.9833229,138.5839169",-34.9833229,138.5839169,1,60.0,20/01/2023,,,,
66320,"-34.8848132,138.6141255",-34.8848132,138.6141255,1,120.0,20/01/2023,,,,
66649,"-34.8972067,138.6858784",-34.8972067,138.6858784,1,120.0,15/01/2023,,,,
66748,"-34.8864654,138.6527321",-34.8864654,138.6527321,1,180.0,15/01/2023,,,,
66769,"-34.8421062,138.5087053",-34.8421062,138.5087053,1,60.0,15/01/2023,,,,
66778,"-34.8893712,138.6904293",-34.8893712,138.6904293,1,90.0,20/01/2023,,,,
66782,"-34.9616889,138.6368712",-34.9616889,138.6368712,1,120.0,20/01/2023,,,,
66792,"-34.9900272,138.5161568",-34.9900272,138.5161568,1,240.0,15/01/2023,,,,
66850,"-34.9740402,138.6067672",-34.9740402,138.6067672,1,60.0,20/01/2023,,,,
66917,"-35.2702183,138.448406",-35.2702183,138.448406,1,60.0,15/01/2023,,,,
66998,"-34.8933724,138.6731038",-34.8933724,138.6731038,1,60.0,20/01/2023,,,,
67033,"-34.8627447,138.6962206",-34.8627447,138.6962206,1,120.0,20/01/2023,,,,
67105,"-35.0284197,138.5700229",-35.0284197,138.5700229,1,90.0,20/01/2023,,,,
67170,"-34.87802,138.5587667",-34.87802,138.5587667,1,60.0,20/01/2023,,,,
67222,"-34.9691207,138.7440431",-34.9691207,138.7440431,1,240.0,15/01/2023,,,,
67290,"-34.8838335,138.6829783",-34.8838335,138.6829783,1,60.0,20/01/2023,,,,
67308,"-34.931937,138.6142236",-34.931937,138.6142236,1,90.0,20/01/2023,,,,
67376,"-34.9564762,138.5742551",-34.9564762,138.5742551,1,60.0,20/01/2023,,,,
68603,"-34.6072998,138.7535211",-34.6072998,138.7535211,1,60.0,14/01/2023,,,,
69079,"-35.5028883,138.7837286",-35.5028883,138.7837286,1,60.0,21/01/2023,,,,
69278,"-34.8361309,138.4968655",-34.8361309,138.4968655,1,60.0,21/01/2023,,,,
69433,"-34.8429991,138.507791",-34.8429991,138.507791,1,30.0,21/01/2023,,,,
69449,"-34.905429,138.578538",-34.905429,138.578538,1,60.0,14/01/2023,,,,
69612,"-34.8409268,138.6555523",-34.8409268,138.6555523,1,60.0,21/01/2023,,,,
69754,"-34.928316,138.5012011",-34.928316,138.5012011,1,60.0,22/01/2023,,,,
69844,"-34.887275,138.6506171",-34.887275,138.6506171,1,90.0,14/01/2023,,,,
70089,"-34.9592692,138.6526538",-34.9592692,138.6526538,1,60.0,14/01/2023,,,,
70101,"-34.8923204,138.6910519",-34.8923204,138.6910519,1,60.0,22/01/2023,,,,
70106,"-34.9608433,138.6173157",-34.9608433,138.6173157,1,240.0,22/01/2023,,,,
70199,"-34.9442133,138.6698709",-34.9442133,138.6698709,1,90.0,14/01/2023,,,,
70307,"-34.7996109,138.7078888",-34.7996109,138.7078888,1,120.0,14/01/2023,,,,
70339,"-34.8284025,138.6663098",-34.8284025,138.6663098,1,120.0,24/01/2023,,,,
70406,"-34.9804833,138.5812658",-34.9804833,138.5812658,1,90.0,24/01/2023,,,,
70420,"-34.8941852,138.5358478",-34.8941852,138.5358478,1,60.0,14/01/2023,,,,
70484,"-34.8941852,138.5358478",-34.8941852,138.5358478,1,120.0,14/01/2023,,,,
